2_id,Say there is definitely/probably life after death,2_Rank,2_X,2_Y
Indonesia,85,1,288.0998128,90.77184731
Turkey,84,2,284.1555088,108.3343647
Kenya,80,3,269.8944567,119.5393558
Philippines,78,4,262.1734734,86.08986962
Bangladesh,77,5,260.7525865,104.0336894
Ghana,74,6,245.653313,113.832186
Malaysia,74,6,245.9232771,93.83131121
Nigeria,71,8,237.7976286,130.4258746
United States,70,9,235.4290286,66.80288628
Mexico,69,10,230.7302232,84.17868111
Peru,68,11,223.5801903,119.3867719
Singapore,68,11,222.7305216,54.04569338
Chile,67,13,218.0316816,71.42156245
Colombia,67,13,221.1287026,137.2190304
Sri Lanka,67,13,226.0315652,101.5544871
Brazil,66,16,213.3329547,88.79744924
Argentina,65,17,209.3627373,108.3475766
Poland,64,18,206.9112789,126.179813
Israel,61,19,196.6640379,95.59053682
South Africa,59,20,191.7828553,71.13287123
Canada,56,21,180.8861945,136.129682
Greece,56,21,180.7175265,85.33001942
Italy,56,21,180.6689351,118.1310458
France,55,24,173.2757152,101.7195099
United Kingdom,53,25,171.3445798,69.96292444
South Korea,52,26,163.1535549,133.0390517
Netherlands,51,27,161.2771015,115.1371236
Germany,50,28,161.4316803,84.98742685
Thailand,50,28,153.3766592,68.89032465
Australia,49,30,151.5188475,100.0118529
Japan,47,31,146.582703,125.7474462
Spain,47,31,143.4637784,83.91477116
Hungary,45,33,136.9296281,110.5547773
India,43,34,128.8745605,94.45775725
Sweden,38,35,111.9071694,100.4667447
