3_id,Say that parts of nature can have spirits or spiritual energies,3_Rank,3_X,3_Y
Ghana,87,1,288,100.0147942
India,79,2,264.2178732,95.8103849
Chile,74,3,248.8633134,127.3822322
South Africa,74,3,252.92712,109.8841189
Philippines,73,5,246.0002311,68.67718974
Thailand,73,5,248.3686584,86.51319349
Colombia,70,7,237.5730997,100.7421793
Argentina,65,8,227.8369943,85.67490457
Peru,65,8,229.9208532,117.036207
Turkey,65,8,222.3492135,133.39702
Mexico,64,11,219.6672095,102.2648628
Nigeria,63,12,217.981821,70.64706931
Sri Lanka,63,12,212.1454036,118.6392552
Singapore,62,14,210.0621846,87.11793247
Brazil,58,15,201.8070709,103.4423528
Indonesia,57,16,194.3340606,119.7024632
Italy,57,16,200.0194069,72.11952808
Japan,56,18,195.6485109,137.6440756
Malaysia,56,18,192.1042111,88.3347505
France,52,20,182.2373925,73.32745695
Germany,49,21,176.5785842,122.7662786
Australia,48,22,170.9137574,139.7779224
Greece,48,22,171.0037478,87.30135055
United States,48,22,169.2713762,60.9341791
Canada,47,25,173.7917916,105.0334093
Hungary,45,26,159.8817288,116.3879252
Kenya,44,27,157.1163198,98.65516788
United Kingdom,42,28,155.2081688,78.53632768
Netherlands,39,29,141.3729798,89.93756987
Bangladesh,38,30,141.7011213,107.8848707
Spain,37,31,138.4131863,72.15701855
South Korea,36,32,135.3676847,124.7008789
Sweden,32,33,124.0002259,84.95454178
Poland,29,34,115.1582216,115.0636486
Israel,28,35,111.1734268,97.53298223
