4_id,Say they pray at least daily,4_Rank,4_X,4_Y
Indonesia,95,1,287.2465879,97.69907811
Kenya,84,2,268.3150646,81.27092416
Nigeria,84,2,277.1689581,103.0903446
Malaysia,80,4,264.2007241,78.03233244
Philippines,79,5,261.0799722,78.57307832
Brazil,76,6,250.5077665,105.3194247
Bangladesh,75,7,245.9336123,86.38161338
Ghana,73,8,251.1723858,100.6332744
Sri Lanka,72,9,243.2578981,121.844721
Colombia,71,10,255.5763353,115.1145088
India,71,10,243.1794632,100.5664949
South Africa,63,12,224.2025861,65.80021319
Turkey,63,12,227.6111095,130.3402847
Peru,58,14,220.0222284,106.0993462
Singapore,45,15,186.2999894,98.16627756
Mexico,44,16,192.3965619,125.0206206
United States,44,16,191.6123217,74.52186291
Chile,41,18,173.4377085,103.6205199
Argentina,39,19,177.3390013,96.98144474
Greece,37,20,176.4666626,110.7105466
Italy,35,21,173.4591889,82.9354837
Israel,34,22,161.0354232,126.9089097
Thailand,31,23,161.5574835,59.49357878
Canada,30,24,154.2238886,112.3747
South Korea,25,25,143.4981959,137.8914977
Spain,22,26,143.3211978,60.75835504
Japan,21,27,144.00215,116.0341558
United Kingdom,21,27,147.3793784,87.52338819
Netherlands,20,29,139.2765021,79.18155118
France,18,30,131.8207515,81.18546957
Poland,18,30,136.6901714,142.3740683
Australia,16,32,125.2569647,118.0596069
Germany,16,32,126.9406849,96.78317312
Hungary,11,34,119.4644108,108.3303359
Sweden,8,35,112.5178841,104.6527795
