5_id,Say they consult a fortune teller horoscope or other way to see the future,5_Rank,5_X,5_Y
South Africa,47,1,331.2666809,90.8290423
India,45,2,336.5301622,96.79200628
Thailand,29,3,247.9554003,70.50887225
Kenya,23,4,231.1101286,107.3594751
Philippines,22,5,220.7000595,82.55017705
Nigeria,20,6,200.7778337,100.5406043
South Korea,20,6,222.8522858,124.1505852
Sri Lanka,20,6,202.2764584,117.0667121
Japan,19,9,199.9630964,136.7488374
Singapore,19,9,208.8962722,85.39950192
Hungary,17,11,202.9758754,102.7141455
Ghana,16,12,192.8747055,100.9404238
Peru,16,12,187.8690692,124.3338603
Argentina,14,14,172.8131531,85.17862707
Chile,14,14,183.1994143,89.32657157
Israel,14,14,184.2883285,108.2654827
France,13,17,177.2882838,67.97745074
Mexico,12,18,172.598841,146.9867168
Australia,11,19,168.7940747,115.7359867
Bangladesh,11,19,166.6451181,62.75508428
Colombia,11,19,169.914824,128.2133638
Spain,11,19,170.919699,51.65701908
Brazil,10,23,154.7568969,135.5293013
Canada,10,23,165.6565743,86.16481836
Malaysia,10,23,153.036916,79.67728601
Poland,10,23,157.4809182,133.714852
Italy,9,27,164.5848657,72.51070551
Netherlands,9,27,171.5515197,80.22600536
United States,9,27,157.5540162,64.37825141
United Kingdom,8,30,139.1606385,117.6714499
Germany,7,31,140.6941959,84.72291839
Indonesia,7,31,140.7338833,102.165374
Sweden,7,31,157.9393692,103.6006773
Turkey,7,31,141.2324824,135.1355105
Greece,4,35,128.8336239,103.6743162
